Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,THOLDFAIL,CQCONF,EXPFAIL,HIGHSD,OUTLIERRG,SPIKE,NOAMP,PRFLOW,NOISE
1,A1,false,NTC,PaV1,UNKNOWN,FAM,NFQ-MGB,39.257,39.257,,,,,,,,,true,0.040,true,3,35,No Amp,,0.000,Y,Y,N,N,N,N,N,N,N
2,A2,false,S1,PaV1,UNKNOWN,FAM,NFQ-MGB,27.418,27.384,0.170,,,,,,,,true,0.040,true,3,24,Amp,,0.984,Y,N,N,N,N,N,N,N,N
3,A3,false,S1,PaV1,UNKNOWN,FAM,NFQ-MGB,27.200,27.384,0.170,,,,,,,,true,0.040,true,3,24,Amp,,0.983,Y,N,N,N,N,N,N,N,N
4,A4,false,S1,PaV1,UNKNOWN,FAM,NFQ-MGB,27.535,27.384,0.170,,,,,,,,true,0.040,true,3,24,Amp,,0.984,Y,N,N,N,N,N,N,N,N
6,A6,false,F1,PaV1,UNKNOWN,FAM,NFQ-MGB,32.714,32.743,0.045,,,,,,,,true,0.040,true,3,29,Amp,,0.970,Y,N,N,N,N,N,N,N,N
7,A7,false,F1,PaV1,UNKNOWN,FAM,NFQ-MGB,32.794,32.743,0.045,,,,,,,,true,0.040,true,3,29,Amp,,0.964,Y,N,N,N,N,N,N,N,N
8,A8,false,F1,PaV1,UNKNOWN,FAM,NFQ-MGB,32.719,32.743,0.045,,,,,,,,true,0.040,true,3,29,Amp,,0.972,Y,N,N,N,N,N,N,N,N
10,A10,false,B1,PaV1,UNKNOWN,FAM,NFQ-MGB,34.952,34.877,0.204,,,,,,,,true,0.040,true,3,32,Amp,,0.961,Y,N,N,N,N,N,N,N,N
11,A11,false,B1,PaV1,UNKNOWN,FAM,NFQ-MGB,35.034,34.877,0.204,,,,,,,,true,0.040,true,3,32,Amp,,0.949,Y,N,N,N,N,N,N,N,N
12,A12,false,B1,PaV1,UNKNOWN,FAM,NFQ-MGB,34.646,34.877,0.204,,,,,,,,true,0.040,true,3,31,Amp,,0.960,Y,N,N,N,N,N,N,N,N
13,B1,false,NTC,PaV1,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.257,,,,,,,,,true,0.040,true,3,39,No Amp,,0.000,Y,Y,Y,N,N,N,Y,N,N
14,B2,false,S2,PaV1,UNKNOWN,FAM,NFQ-MGB,33.856,33.881,0.354,,,,,,,,true,0.040,true,3,30,Amp,,0.970,Y,N,N,N,N,N,N,N,N
15,B3,false,S2,PaV1,UNKNOWN,FAM,NFQ-MGB,34.247,33.881,0.354,,,,,,,,true,0.040,true,3,31,Amp,,0.962,Y,N,N,N,N,N,N,N,N
16,B4,false,S2,PaV1,UNKNOWN,FAM,NFQ-MGB,33.540,33.881,0.354,,,,,,,,true,0.040,true,3,30,Amp,,0.968,Y,N,N,N,N,N,N,N,N
18,B6,false,F2,PaV1,UNKNOWN,FAM,NFQ-MGB,29.899,29.832,0.067,,,,,,,,true,0.040,true,3,26,Amp,,0.981,Y,N,N,N,N,N,N,N,N
19,B7,false,F2,PaV1,UNKNOWN,FAM,NFQ-MGB,29.765,29.832,0.067,,,,,,,,true,0.040,true,3,26,Amp,,0.974,Y,N,N,N,N,N,N,N,N
20,B8,false,F2,PaV1,UNKNOWN,FAM,NFQ-MGB,29.830,29.832,0.067,,,,,,,,true,0.040,true,3,26,Amp,,0.981,Y,N,N,N,N,N,N,N,N
22,B10,false,B2,PaV1,UNKNOWN,FAM,NFQ-MGB,30.762,30.693,0.097,,,,,,,,true,0.040,true,3,27,Amp,,0.981,Y,N,N,N,N,N,N,N,N
23,B11,false,B2,PaV1,UNKNOWN,FAM,NFQ-MGB,Undetermined,30.693,0.097,,,,,,,,true,0.040,true,3,35,No Amp,,0.000,Y,Y,N,N,N,N,N,N,N
24,B12,false,B2,PaV1,UNKNOWN,FAM,NFQ-MGB,30.625,30.693,0.097,,,,,,,,true,0.040,true,3,27,Amp,,0.982,Y,N,N,N,N,N,N,N,N
26,C2,false,S3,PaV1,UNKNOWN,FAM,NFQ-MGB,22.139,22.181,0.049,,,,,,,,true,0.040,true,3,19,Amp,,0.735,Y,Y,N,N,N,N,N,N,N
27,C3,false,S3,PaV1,UNKNOWN,FAM,NFQ-MGB,22.235,22.181,0.049,,,,,,,,true,0.040,true,3,19,Amp,,0.774,Y,Y,N,N,N,N,N,N,N
28,C4,false,S3,PaV1,UNKNOWN,FAM,NFQ-MGB,22.170,22.181,0.049,,,,,,,,true,0.040,true,3,19,Amp,,0.702,Y,Y,N,N,N,N,N,N,N
